emoticon	description			
( ^^)	cup of tea			
_U~~	cup of tea			
( ^^)	cup of tea			
_旦~~	cup of tea			
☆彡	shooting star			
☆ミ	shooting star			
>°)))彡	fish			
(Q))><ヨヨ	fish			
(°))<<	fish			
>°))))彡	fish			
<°)))彡	fish			
>°))彡	fish			
<+))><<	fish			
<*))>=<	fish			
<コ:彡	squid			
Ｃ:.ミ	octopus			
~>°)～～～	snake			
～°·_·°～	bat			
(°°)～	tadpole			
●～*	bomb			
￣|○	despair			
STO	despair			
OTZ	despair			
OTL	despair			
orz	despair			
囧rz	despair			
(╯°□°）╯︵ ┻━┻	table flip			
┬──┬ ¯\_(ツ)	table flip			
┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻	table flip			
┬─┬ノ( º _ ºノ)	table flip			
(ノಠ益ಠ)ノ彡┻━┻	table flip			
:3ミ	curled mouth			
m(_ _)m	kowtow			
(´･ω･`)	snubbed			
(`･ω･´)	perky			
(｀-´)>	salute			
(´；ω；`)	sad			
ヽ(´ー｀)ﾉ	peace of mind			
ヽ(`Д´)ﾉ	irritable			
(＃ﾟДﾟ)	angry			
（ ´Д｀）	yelling			
（　ﾟДﾟ）	surprise			
┐('～`；)┌	shrug 			
（´∀｀）	carefree			
（　´_ゝ`）	indifferent			
Σ(゜д゜;)	shocked			
( ﾟヮﾟ)	happy			
⊂二二二（＾ω＾）二⊃	carefree			
(((( ；ﾟДﾟ)))	spook			
Σ(ﾟДﾟ)	surprise			
( ´∀｀)σ)∀`)	jog someone's cheek			
( ﾟдﾟ)	amazed			
(´ー`)y-~~	smoking			
（ ^_^）o自自o（^_^ ）	cheers			
m9(・∀・)	flash of intuition			
ヽ(´ー`)人(´∇｀)人(`Д´)ノ	friendly			
('A`)	lonely			
（ ´,_ゝ`)	depressed			
（´-`）.｡oO( ... )	thinking 			
(ﾟДﾟ;≡;ﾟДﾟ)	impatience			
( ´д)ﾋｿ(´Д｀)ﾋｿ(Д｀)	whispers			
（･∀･)つ⑩	carrying money			
⊂（ﾟДﾟ⊂⌒｀つ≡≡≡(´⌒;;;≡≡≡	sliding on belly			
(ﾟдﾟ)	unforeseen			
(ﾟ⊿ﾟ)	I do not need it			
щ(ﾟДﾟщ) (屮ﾟДﾟ)屮	come on			
（・∀・）	mocking			
（・Ａ・）	that is bad			
(ﾟ∀ﾟ)	goofing around			
（ つ Д ｀）	sad 			
エェェ(´д｀)ェェエ	unconvincing			
(￣ー￣)	simper			
[ﾟдﾟ]	deflagged			
♪┏(・o･)┛♪┗ ( ･o･) ┓	dancing to the music			
d(*⌒▽⌒*)b	happy 			
＿|￣|○	given up			
(╬ ಠ益ಠ)	grimace			
(≧ロ≦)	shouting			
(ΘεΘ;)	boredom			
＼| ￣ヘ￣|／＿＿＿＿＿＿＿θ☆( *o*)/	kick			
┌(；`～,)┐	discombobulated			
ε=ε=ε=┌(;*´Д`)ﾉ	running			
ヽ(´▽`)/	happy			
^ㅂ^	happy			
(l'o'l)	shocked			
ヽ(ｏ`皿′ｏ)ﾉ	angry			
(☞ﾟヮﾟ)☞	do it			
☜(ﾟヮﾟ☜) 	do it			
☜(⌒▽⌒)☞	angel			
